"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
468,1,67090.75527,48605.86179,140.21956,368.53945,9.64863,1.02635,11.76706
469,1,67049.00642,63668.47987,184.51891,227.09959,10.54906,0.80601,20.17597
470,1,67086.80585,26116.99723,388.45803,1469.29667,5.7116,14.67728,70.04601
471,1,67395.71176,2745.05806,122.09158,84.87234,6.59242,1.8535,28.29126
472,1,67375.67335,80612.64411,180.55328,220.68305,7.61077,0.47598,18.85384
473,1,67597.63654,3507.02141,119.3244,136.81168,8.26395,3.1618,24.55157
474,1,67684.0874,7643.13811,177.45342,368.78995,7.06959,1.60822,16.47907
475,1,67798.3134,56557.87266,160.2086,182.29107,9.23582,0.35928,18.09782
476,1,67859.41626,70165.32886,171.72295,333.69491,8.842,0.56937,14.51946
477,1,68191.60021,3784.45127,112.08733,86.69886,8.93139,3.83896,35.67918
478,1,68265.40412,78687.6323,181.60093,202.7753,7.51415,0.43641,19.71592
479,1,68643.97733,16442.21781,137.97129,169.18824,8.51941,1.10258,18.26732
480,1,68810.85627,4237.15455,129.85439,101.02038,6.82333,1.64248,26.00854
481,1,68845.46504,43721.5616,152.80186,417.08709,9.09101,0.81816,11.749
482,1,68882.0762,49346.96793,159.03067,191.08401,11.23775,0.79466,18.87268
483,1,68877.21204,59091.07116,173.36299,153.71149,8.6315,0.40986,21.70785
484,1,69033.34784,15490.99835,136.90473,308.56332,12.04468,4.71261,19.69505
485,1,69365.20103,62097.21782,176.08602,303.78237,9.92934,0.64906,15.86531
486,1,69436.47385,75333.18756,179.27761,196.93487,7.06786,0.40277,19.64051
487,1,69520.63817,20676.80513,144.61346,222.40145,7.73879,0.69759,15.42073
488,1,69532.66393,22270.826,134.9215,150.63546,7.908,0.52937,17.30885
489,1,69552.34708,65454.90995,143.33742,502.70556,10.89969,2.21205,11.41394
490,1,69585.20424,79318.45756,172.0557,133.85988,7.12745,0.26467,22.51111
491,1,69706.42061,15990.55521,131.69373,314.09085,13.93224,5.26932,19.52126
492,1,70068.6287,52849.01895,172.95432,261.42349,9.6781,0.47125,16.4433
493,1,70227.71142,68142.3043,143.38317,305.81313,8.14062,0.42216,12.43329
494,1,70274.22982,48921.34548,158.37575,1373.65234,15.25994,4.86515,8.40941
495,1,70364.24311,63765.39879,140.74203,258.1214,8.58139,0.38452,13.28037
496,1,70188.17499,65832.03359,155.85381,147.47791,10.2491,3.27473,34.48352
497,1,70622.06827,2681.20195,188.16911,465.79196,10.91498,3.31589,19.19368
498,1,70826.1578,34382.30967,153.055,226.93713,7.64136,0.57115,15.87818
499,1,70877.0278,59745.43558,141.64744,284.17704,9.00674,0.80939,13.386
500,1,71029.55101,22955.43164,142.34163,527.45096,8.96531,1.1112,9.88359
501,1,70895.63921,27865.31249,136.72552,330.2463,9.52692,1.35003,12.65394
502,1,70901.98353,54471.3395,177.45183,222.05362,9.19375,0.54029,18.66099
503,1,71120.17392,47319.20534,163.71963,119.35494,9.22586,0.48787,23.87359
504,1,71214.5446,50909.19898,155.7809,855.3657,13.68736,5.59477,12.02687
505,1,71394.67202,74137.64452,174.00489,198.08888,7.25611,0.38753,18.9327
506,1,71603.5485,9102.15738,161.55857,116.64847,5.86901,0.61608,24.54708
507,1,71782.61628,28493.0288,137.90588,326.4573,9.50243,1.24864,12.70368
508,1,71463.03704,50848.68988,307.17658,1258.56937,10.26454,19.75028,68.62357
509,1,72003.40227,20911.21789,141.59008,193.41973,7.22539,0.46667,15.73415
510,1,72128.82575,33300.4735,137.96435,279.67832,7.77328,0.92881,13.33803
511,1,72061.71319,55791.61515,143.7725,589.91256,10.4133,1.29772,9.54876
512,1,72268.41262,46650.5571,151.16437,250.14927,8.69235,0.61644,14.96587
513,1,72516.06947,59618.01143,144.71507,482.92698,9.60844,1.00026,10.44384
514,1,72717.78913,13761.3189,159.74086,222.68991,6.95103,1.21121,18.63336
515,1,72815.47446,44093.48132,148.71683,264.32786,7.72899,0.60779,14.26561
516,1,72979.36845,5931.50238,136.44138,113.05063,5.50912,0.44801,20.16953
517,1,73212.00583,69633.1488,143.04775,182.48921,6.69574,0.32766,16.06139
518,1,73472.26493,7633.58782,172.58344,148.19658,5.9664,0.79182,23.92253
519,1,73738.5846,35285.30552,136.57924,216.80299,7.36243,0.72771,14.79933
520,1,74620.57472,61864.613,142.17062,169.30427,7.05164,0.31708,16.5772
521,1,75462.6475,5983.70948,190.18378,268.96261,6.30435,1.43633,21.19888
522,1,75542.58666,7482.61813,173.12337,143.68837,6.02333,0.76459,24.29847
523,1,75582.23009,19226.55352,151.22173,253.4267,7.50364,1.12717,16.01072
524,1,76198.7746,12830.34033,160.81744,136.70689,5.89836,0.63773,22.42247
525,1,76190.29092,28185.27514,141.08411,239.39474,7.92595,0.81394,14.66764
526,1,76679.08391,10132.21661,167.74201,88.9847,5.49401,0.49197,28.92007
527,1,76674.49021,27230.34408,141.22905,210.9298,8.09823,0.5756,15.21782
528,1,76784.18424,66111.61224,180.06643,82.7971,6.18276,0.28852,30.66703
529,1,76690.2552,70959.57306,141.77764,298.17778,7.002,0.56998,12.67509
530,1,76886.22745,18109.48696,159.15525,362.43337,8.44858,1.79219,15.02352
531,1,76929.96335,25118.1826,154.66027,404.93685,8.59235,1.82468,13.62857
532,1,77105.54651,53009.10382,153.48647,344.93866,8.11572,0.66052,12.84851
533,1,77455.73001,73244.78437,141.84124,120.31956,5.95434,0.28174,19.67008
534,1,78071.42354,1063.94224,137.03971,92.43124,4.7018,0.2914,21.88265
535,1,77929.07843,2535.79242,120.26028,64.69709,5.42206,1.61571,31.77182
536,1,78119.93103,44055.83886,125.14632,196.10129,9.96556,2.65242,18.77286
537,1,78320.157,28954.35927,232.71873,602.83849,6.77364,6.7493,32.62951
538,1,78238.08068,52195.23934,160.32578,134.03593,7.59277,0.42611,21.62449
539,1,78266.47656,57224.50899,165.77013,137.94771,6.88823,0.34943,21.69967
540,1,78511.38265,3080.57939,123.28296,63.50063,5.4695,1.55715,32.74861
541,1,78842.61643,44262.54047,123.76195,125.76755,12.56027,4.44648,33.45961
542,1,78762.52101,63152.93921,138.55562,210.75934,6.99752,0.48009,14.73255
543,1,79008.57829,53375.67864,135.96895,179.97379,7.91577,0.55401,15.90198
544,1,79120.62681,10909.93183,135.07291,70.55017,5.00149,0.19537,24.36048
545,1,79237.30801,5554.71716,135.98781,60.8769,4.42743,0.23051,26.71747
546,1,79413.63529,43715.86629,254.02747,641.71051,9.15848,7.95147,40.70938
547,1,79811.2039,53604.12779,145.3438,132.79867,8.18705,1.16895,22.71154
548,1,79779.45086,60849.62592,171.44051,138.22297,6.90099,0.35389,22.46204
549,1,79793.15103,68670.08675,176.07272,168.51438,6.63301,0.36843,20.82251
550,1,79955.97703,25500.84932,141.52668,128.01467,6.55918,0.31212,19.09964
551,1,79946.5877,57823.80133,167.28287,125.11974,6.832,0.26961,22.69373
552,1,79892.09796,62461.90228,173.72966,97.38154,6.82123,0.25282,26.83199
553,1,80831.71934,27558.9614,144.88676,115.85799,6.27778,0.30646,20.59116
554,1,81320.9171,29309.48702,138.87367,210.98926,7.59595,0.73615,15.30445
